Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class,confidence_score,pred_label
0.364901,0.369589,0.433702,0.299806,0.321513,0.532198,0.354429,0.451941,-0.561233,0.49609,0.0250557,-0.414177,-0.446212,-0.627649,-0.446634,0.58494,SIRA,1,SIRA
9.00754,5.69724,4.60453,7.68078,-0.0781945,0.21015,8.94735,6.40185,0.53395,0.253646,-0.216234,-0.0527155,-4.00246,-1.62422,-0.093081,-0.3794,BOMBAY,1,unknown
1.29002,1.92708,0.594357,2.16962,-0.758124,-0.565723,1.38405,1.31523,-1.16657,-5.19471,-3.17145,0.694132,-1.83559,-0.25064,0.671059,-0.679858,BARBUNYA,1,unknown
-0.479682,-0.630935,-0.872186,0.398499,-1.40286,-1.7987,-0.487666,-0.446884,0.292233,0.820043,1.39717,1.60261,-0.545063,1.39007,1.66167,0.797204,SEKER,1,SEKER
2.51259,2.78261,1.42952,3.18388,-0.489847,-0.215865,2.56524,2.32409,-0.869767,-2.67697,-2.74541,0.382314,-2.40361,-0.744876,0.346509,-0.591696,BARBUNYA,1,unknown
1.4371,1.52079,1.31775,1.23179,0.640393,0.742154,1.43098,1.44359,0.0348206,-0.117562,-1.19415,-0.699193,-1.23103,-1.07878,-0.717927,0.555141,BARBUNYA,1,CALI
1.41201,1.44398,1.36957,1.15279,0.761631,0.813202,1.39302,1.42184,-0.187954,0.543359,-0.955417,-0.832036,-1.1363,-1.13906,-0.842118,-0.619658,CALI,1,CALI
6.52391,4.41471,3.36587,6.35954,-0.390294,-0.102029,6.46464,5.01784,0.736742,0.59523,-0.0470953,0.306159,-3.66074,-1.31466,0.268445,0.651184,BOMBAY,1,unknown
0.767518,1.21086,1.25869,0.156594,1.51351,1.17158,0.816177,0.840541,-0.625098,-3.15093,-2.22631,-1.49606,-0.150933,-1.31791,-1.4414,-4.05714,HOROZ,1,unknown
1.8164,2.06476,1.90314,1.1385,1.3869,1.11963,1.83437,1.76514,0.111395,-1.3123,-2.13513,-1.30255,-1.14726,-1.43,-1.27046,0.122084,BARBUNYA,1,unknown
-0.616909,-0.628604,-0.552069,-0.614686,-0.246726,0.049355,-0.618515,-0.606378,0.556666,0.331155,0.451669,0.154608,0.524943,0.241796,0.114498,0.79225,DERMASON,1,DERMASON
-1.19866,-1.31538,-1.12507,-1.40771,-0.417847,-0.132767,-1.19259,-1.33949,0.173524,-0.150912,0.833653,0.332331,1.62446,0.88648,0.29522,0.496701,DERMASON,1,DERMASON
0.00281504,-0.190971,-0.391513,0.818569,-1.06626,-1.06787,-0.0105544,0.0821919,0.723385,0.910127,1.44327,1.13277,-0.914849,0.628674,1.14098,0.895629,SEKER,1,SEKER
